Fuel_Type_Code,Station_Name,Street_Address,City,State,ZIP,Station_Phone,EV_Network,ID,Open_Date,EV_Connector_Types,Access_Code
ELEC,City of Seattle - Muni Tower,700 5th Ave,Seattle,WA,98124,NULL,Non-Networked,44156,2011-12-31,J1772,private
ELEC,City of Seattle - Parking Enforcement Division,2203 Airport Way S,Seattle,WA,98134,NULL,Non-Networked,44158,2011-12-31,J1772,private
ELEC,City of Seattle - Seattle Center,516 Harrison St,Seattle,WA,98109,206-684-7200,Non-Networked,44159,2011-12-01,J1772,public
ELEC,City of Seattle - Seattle City Light North Service Center,1300 N 97th St,Seattle,WA,98103,NULL,Non-Networked,44160,2011-12-31,J1772,private
ELEC,City of Seattle - Seattle City Light South Service Center,225 S Spokane St,Seattle,WA,98134,NULL,Non-Networked,44161,2011-12-31,J1772,private
ELEC,City of Seattle - Seattle Water Ops,2700 Airport Way S,Seattle,WA,98134,NULL,Non-Networked,44162,2011-12-31,J1772,private
ELEC,City of Seattle - West Bridge,4209 W Marginal Way SW,Seattle,WA,98106,NULL,Non-Networked,44163,2011-12-31,J1772,private
ELEC,Tacoma Nissan,4030 S Tacoma Way,Tacoma,WA,98409,253-473-6200,Non-Networked,44166,2011-03-15,J1772,private
ELEC,Advantage Nissan,5101 Auto Center Blvd,Bremerton,WA,98312,360-373-6300,Non-Networked,44270,2011-03-15,J1772,private
ELEC,Burien Nissan,16042 1st Ave S,Burien,WA,98148,206-242-7070,Non-Networked,44272,2011-03-15,J1772,private
ELEC,Alan Webb Nissan,3608 NE Auto Mall Dr,Vancouver,WA,98662,360-892-9004,Non-Networked,44506,2011-03-15,J1772,private
ELEC,Valley Nissan,1010 S 1st St,Yakima,WA,98901,509-453-3125,Non-Networked,44509,2011-11-30,J1772,public
ELEC,Valley Nissan,1010 S 1st St,Yakima,WA,98901,509-453-3125,Non-Networked,44510,2011-11-30,J1772,private
ELEC,Snohomish County - Evergreen Fairgrounds,14405 179th Ave SE,Monroe,WA,98272,425-388-6619,Non-Networked,45209,2012-01-20,J1772,public
ELEC,Snohomish County - Willis Tucker Community Park,6705 Puget Park Dr,Snohomish,WA,98296,425-388-6619,Non-Networked,45211,2012-01-20,J1772,public
ELEC,Seattle City Light,500 Newhalem St,Rockport,WA,98283,NULL,Non-Networked,45654,2012-01-01,J1772,private
ELEC,OAK HARBOR OH DUAL #1,1270 SE Dock St,Oak Harbor,WA,98277,888-758-4389,ChargePoint Network,46390,2012-04-01,J1772,public
ELEC,PeaceHealth,1115 SE 164th Ave,Vancouver,WA,98684,NULL,Non-Networked,47885,2012-05-31,J1772,private
ELEC,Puget Sound Energy,6500 Ursula Pl S,Seattle,WA,98108,NULL,Non-Networked,48605,2012-06-30,J1772,private
ELEC,Marriott Springhill Suites,1730 N Wenatchee Ave,Wenatchee,WA,98801,509-667-2775,Non-Networked,49068,2012-04-01,J1772,public
ELEC,KING COUNTY DOT KSC STATION #1,201 S Jackson St,Seattle,WA,98104,888-758-4389,ChargePoint Network,49230,2012-07-31,J1772,public
ELEC,City of Bellevue - Bellevue Service Center,2901 115th Ave NE,Bellevue,WA,98004,NULL,Non-Networked,49759,2012-10-15,J1772,private
ELEC,SKAGIT COUNTY ADMIN STATION 2,1800 Continental Pl,Mount Vernon,WA,98273,888-758-4389,ChargePoint Network,50210,2012-11-20,J1772,public
ELEC,SWEDISH EDMONDS STATION 01,21601 76th Ave. West,Edmonds,WA,98026,888-758-4389,ChargePoint Network,51314,2013-03-15,J1772,public
ELEC,Evergreen Ford,1500 18th Ave NW,Issaquah,WA,98027,NULL,Non-Networked,51904,2012-10-01,J1772,private
ELEC,Nikola Broadband,224 W Washington St,Sequim,WA,98382,360-582-1051,Non-Networked,51905,2013-05-15,J1772,public
ELEC,Small Car Performance,1403 34th Ave E,Fife,WA,98424,NULL,Non-Networked,51906,2013-05-01,NEMA520,private
ELEC,King County - Roads Maintenance Facility,781 Monroe Ave NE,Renton,WA,98056,NULL,Non-Networked,52142,2013-06-01,J1772,private
ELEC,Kitsap Transit - South Base,1430 Retsil Rd SE,Port Orchard,WA,98366,NULL,Non-Networked,52396,2013-07-15,J1772,private
ELEC,Mazama Country Inn,15 Country Rd,Mazama,WA,98833,800-843-7951,Non-Networked,53702,2013-11-01,J1772,public
ELEC,Vancouver Ford,6801 NE 40th St,Vancouver,WA,98661,360-992-7373,Non-Networked,53968,2013-04-01,J1772,public
ELEC,VIA6 VIA6-SOUTH,2121 6th Ave,Seattle,WA,98121,888-758-4389,ChargePoint Network,55995,2014-01-20,J1772,public
ELEC,800 FIFTH AVE STATION 2,800  5th Ave,Seattle,WA,98104,888-758-4389,ChargePoint Network,56870,2011-03-15,J1772,public
ELEC,Campbell's Lake Chelan Resort,104 W Woodin Ave,Chelan,WA,98816,800-553-8225,Non-Networked,60002,2013-10-04,NEMA520,public
ELEC,Campbell's Lake Chelan Resort,104 W Woodin Ave,Chelan,WA,98816,800-553-8225,Non-Networked,60003,2013-10-04,J1772,public
ELEC,Pine Near RV Park,316 Castle Ave,Winthrop,WA,98862,509-341-4062,Non-Networked,60004,2013-09-23,J1772,public
ELEC,Omak Inn,912 Koala Dr,Omak,WA,98841,800-204-4800  509-826-3822,Non-Networked,60005,2013-10-04,J1772,public
ELEC,59er Diner,15361 US 2,Leavenworth,WA,98826,509-763-2267,Non-Networked,60006,2014-01-15,J1772,public
ELEC,Pateros Lakeshore Inn,312 Lakeshore Dr,Pateros,WA,98846,877-923-9555,Non-Networked,60007,2013-12-28,J1772,public
ELEC,Birkenstock,17506 NE Delfel Ct,Ridgefield,WA,98642,360-574-4332,Non-Networked,60229,2014-01-01,J1772,public
ELEC,PARKMETRO1 PARK METRO #1,11101 NE 12th St,Bellevue,WA,98004,888-758-4389,ChargePoint Network,60241,2014-02-07,J1772,public
ELEC,VALLEY MED CTR MAIN LOT #8,4109-4251 Talbot Rd S,Renton,WA,98055,888-758-4389,ChargePoint Network,60331,2014-02-13,J1772,public
ELEC,Haselwood Chevrolet Buick GMC,501 W Hills Blvd,Bremerton,WA,98312,360-479-4910,Non-Networked,60718,2014-01-01,J1772,public
ELEC,Lakeside 24 Hour Fuel,16835 Lewis River Rd,Cougar,WA,98616,360-238-5202,Non-Networked,60814,2014-03-06,J1772,public
ELEC,AWNISSAN QUICK CHARGER 1,3608 NE Auto Mall Dr,Vancouver,WA,98662,888-758-4389,ChargePoint Network,61030,2014-04-02,CHADEMO,public
ELEC,MI SCHOOLS BOYS&GIRLS CLUB,4120 86th Ave NE,Mercer Island,WA,98040,888-758-4389,ChargePoint Network,61426,2014-04-22,J1772,public
ELEC,MI SCHOOLS ADMIN BUILDING,4160 86th Ave SE,Mercer Island,WA,98040,888-758-4389,ChargePoint Network,61580,2014-05-02,J1772,public
ELEC,Pierce County - Annex Lot,2401 S 35th St,Tacoma,WA,98409,NULL,Non-Networked,61683,2013-06-30,J1772,private
ELEC,Pierce County - City Building,930 Tacoma Ave S,Tacoma,WA,98402,253-798-6611,Non-Networked,61684,2011-12-01,J1772,private
ELEC,SCH CHILDREN'S #2,4800 Sand Point Way NE Seattle WA 98105,Seattle,WA,98105,888-758-4389,ChargePoint Network,61863,2014-05-29,J1772,public
ELEC,Kitsap Transit WA Harborside Parking Garage,60 Washington Ave,Bremerton,WA,98337,855-885-9571,OpConnect,61877,2013-12-31,J1772,public
ELEC,BMW TRI-CITIES STATION 01,1201-1299 Aaron Dr,Richland,WA,99352,888-758-4389,ChargePoint Network,61930,2014-06-03,J1772,public
ELEC,Mount Rainier National Park,Highway 706 E,Longmire,WA,98397,NULL,Non-Networked,61947,2014-05-22,J1772,private
ELEC,Mount Rainier National Park,55210 238th Ave E,Ashford,WA,98304,NULL,Non-Networked,61948,2019-07-15,J1772,private
ELEC,Semiahmoo Resort,9565 Semiahmoo Pkwy,Blaine,WA,98230,360-318-2000,Non-Networked,62286,2014-04-01,J1772,public
ELEC,Pybus Public Market,7 N Worthen St,Wenatchee,WA,98801,509-888-3900,Non-Networked,62516,2014-07-07,J1772,public
ELEC,UDR ASHTON BELL #2,10710 NE 10th St,Bellevue,WA,98004,888-758-4389,ChargePoint Network,62654,2014-07-30,J1772,public
ELEC,Best Western Plus - Heritage Inn,151 E McLeod Rd,Bellingham,WA,98226,360-647-1912,Non-Networked,62692,2014-03-21,J1772,public
ELEC,UDR TEN20 #1,10710 Northeast 10th Street,Bellevue,WA,98004,888-758-4389,ChargePoint Network,62728,2014-07-31,J1772,public
ELEC,AMLI SLU AMLI SLU #1,1250-1282 Republican St,Seattle,WA,98109,888-758-4389,ChargePoint Network,62796,2014-08-06,J1772,public
ELEC,City of Chelan,137 E Johnson Ave,Chelan,WA,98816,509-682-8019,Non-Networked,62973,2014-08-18,J1772,public
ELEC,LCC LCC H&S #1,1810 Maple Street,Longview,WA,98632,888-758-4389,ChargePoint Network,63088,2014-08-27,J1772,public
ELEC,UWMC UWMC #1,3100 Northup Way,Bellevue,WA,98004,888-758-4389,ChargePoint Network,63110,2014-08-28,J1772,public
ELEC,MI SCHOOLS MERCER HIGH #1,8932-8998 SE 42nd St,Mercer Island,WA,98040,888-758-4389,ChargePoint Network,63198,2014-09-04,J1772,public
ELEC,UWMC 4245 UWMC 4245 #1,4245 Roosevelt Ave NE,Seattle,WA,98105,888-758-4389,ChargePoint Network,63313,2014-09-17,J1772,public
ELEC,UWMC 4225 UWMC 4225 #1,4225 Roosevelt Way NE,Seattle,WA,98105,888-758-4389,ChargePoint Network,63338,2014-09-19,J1772,public
ELEC,Esplanade Street Parking,220 N Oak St,Port Angeles,WA,98362,360-457-0411,Non-Networked,63424,2014-02-01,J1772 NEMA1450,public
ELEC,Town Nissan,555 3rd St SE,East Wenatchee,WA,98802,509-662-5125,Non-Networked,63444,2010-12-17,CHADEMO J1772,public
ELEC,Town Nissan,555 3rd St SE,East Wenatchee,WA,98802,509-662-5125,Non-Networked,63445,2010-12-17,J1772,private
ELEC,MAIN HOSPITAL SILVER PARKING,11300-11398 128th Ave NE,Kirkland,WA,98034,888-758-4389,ChargePoint Network,63780,2014-10-17,J1772,public
ELEC,MAIN HOSPITAL DEYOUNG1,12039 NE 128th St,Kirkland,WA,98034,888-758-4389,ChargePoint Network,63781,2014-10-17,J1772,public
ELEC,MAIN HOSPITAL BLUE PARKING,12040 NE 128th St,Kirkland,WA,98034,888-758-4389,ChargePoint Network,63782,2014-10-17,J1772,public
ELEC,Leskovar Mitsubishi,3020 W Clearwater Ave,Kennewick,WA,99336,509-783-6141,Non-Networked,64135,2014-03-01,J1772,public
ELEC,BMW SEATTLE BMW SALES,601-699 S Plummer St,Seattle,WA,98134,888-758-4389,ChargePoint Network,64185,2014-11-14,J1772,public
ELEC,HARBOUR POINT HBP STATION A,11700 Mukilteo Speedway,Mukilteo,WA,98275,888-758-4389,ChargePoint Network,64475,2014-12-03,J1772,public
ELEC,Mellisoni Vineyard,3155 US 97A,Chelan,WA,98816,509-293-1891,Non-Networked,64500,2014-11-29,J1772,public
ELEC,Sound Ford,101 SW Grady Way,Renton,WA,98057,877-217-4519,Non-Networked,64703,2014-12-01,J1772,public
ELEC,1551 EASTLAKE A ARE 1551 #1,1551 Eastlake Ave E,Seattle,WA,98102,888-758-4389,ChargePoint Network,65035,2015-01-09,J1772,public
ELEC,Cathcart Station,8915 Cathcart Way,Snohomish,WA,98296,NULL,Non-Networked,65056,2011-03-01,J1772,private
ELEC,901 FIFTH F LEVEL,901 5th Ave,Seattle,WA,98164,888-758-4389,ChargePoint Network,65241,2015-01-15,J1772,public
ELEC,1616 EASTLAKE ARE 1616 #1,1616 Eastlake Ave E,Seattle,WA,98102,888-758-4389,ChargePoint Network,65267,2015-01-16,J1772,public
ELEC,Snoqualmie Casino,37500 SE N Bend,Issaquah,WA,98065,425-888-1234,Non-Networked,65414,2015-01-01,J1772,public
ELEC,Wenatchee - Wenatchee Convention Center,200 N Columbia St,Wenatchee,WA,98801,888-833-2148,Webasto,65859,2012-06-30,CHADEMO J1772,public
ELEC,I-5 Gee Creek NB Rest Area,Interstate 5  Milepost 11 North,Ridgefield,WA,98642,888-833-2148,Webasto,65860,2012-05-31,J1772,public
ELEC,Centralia - Wendy's,817 Harrison Avenue,Centralia,WA,98531,888-833-2148,Webasto,65861,2012-05-31,CHADEMO J1772,public
ELEC,Bellingham - Sehome Village,222 36th St,Bellingham,WA,98325,888-833-2148,Webasto,65862,2012-05-31,CHADEMO J1772,public
ELEC,Castle Rock - Cascade Select Market,204 W. Cowlitz Street,Castle Rock,WA,98611,888-833-2148,Webasto,65864,2012-08-09,CHADEMO J1772,public
ELEC,Burlington - The Outlet Shoppes,448 Fashion Way,Burlington,WA,98233,888-833-2148,Webasto,65865,2012-05-31,CHADEMO J1772,public
ELEC,Ridgefield - Country Cafe,6370 N. 1st Circle,Ridgefield,WA,98642,888-833-2148,Webasto,65866,2012-05-31,CHADEMO J1772,public
ELEC,I-5 Custer SB Rest Area,3063 Creasy Rd,Custer,WA,98240,888-833-2148,Webasto,65868,2012-05-31,J1772,public
ELEC,Skykomish - Sky Deli,148 5th Street N,Skykomish,WA,98288,888-833-2148,Webasto,65869,2012-05-31,CHADEMO J1772,public
ELEC,I-5 Gee Creek NB Rest Area,Interstate 5  Milepost 11 South,Ridgefield,WA,98642,888-833-2148,Webasto,65870,2012-05-31,J1772,public
ELEC,525 NORTHGATE RETAIL #1,525 NE Northgate Way,Seattle,WA,98125,888-758-4389,ChargePoint Network,66221,2015-02-28,J1772,public
ELEC,Power Trip Energy Corp,83 Denny Ave,Port Townsend,WA,98368,360-643-3080,Non-Networked,66418,2012-06-01,J1772,public
ELEC,John L Scott Real Estate,2219 W Sims Way,Port Townsend,WA,98368,360-385-4115,Non-Networked,66419,2015-02-01,J1772,public
ELEC,Port Townsend Laundromat & Car Wash,2115 W Sims Way,Port Townsend,WA,98368,NULL,Non-Networked,66420,2015-02-01,J1772,private
ELEC,GreenPod Development,1531 W Sims Way,Port Townsend,WA,98368,360-358-5614,Non-Networked,66421,2015-02-03,J1772,public
ELEC,Windermere Real Estate,1220 Water St,Port Townsend,WA,98368,360-385-9344,Non-Networked,66422,2015-02-04,J1772,public
ELEC,HAMPTON INN WEST BACK,11505 NE 2nd Pl,Bellevue,WA,98004,888-758-4389,ChargePoint Network,66594,2015-04-02,J1772,public
ELEC,SIA GARAGE F1,9000 W Airport Dr,Spokane,WA,99224,888-758-4389,ChargePoint Network,66622,2015-04-07,J1772,public
ELEC,MAIN HOSPITAL SILVER #2,12001-12099 NE 130th Ln,Kirkland,WA,98034,888-758-4389,ChargePoint Network,66645,2015-04-09,J1772,public
ELEC,WINSLOW WAY WINSLOW #1,232-240 Winslow Way E,Bainbridge Island,WA,98110,888-758-4389,ChargePoint Network,66696,2015-04-11,J1772,public
ELEC,The Co-op Farm and Garden,216 E Washington St,Sequim,WA,98382,360-683-4111,Non-Networked,67125,2015-01-01,J1772,public
ELEC,VISITOR GARAGE PEDESTAL UNIT,1201 Pacific Ave,Tacoma,WA,98402,888-758-4389,ChargePoint Network,67692,2015-06-06,J1772,public
ELEC,HOMEWOOD SUITES HOMEWOOD #1,1484 Hyla Ave NW,Issaquah,WA,98027,888-758-4389,ChargePoint Network,68187,2015-07-08,J1772,public
ELEC,Banks Lake Brew and Bistro,695 N 2nd St,Coulee City,WA,99115,509-632-5510,Non-Networked,68846,2015-08-03,J1772,public
ELEC,VM CHARGERS VIRGINIA MASON2,1012 Terry Ave,Seattle,WA,98101,888-758-4389,ChargePoint Network,68940,2015-08-11,J1772,public
ELEC,CHARGEPOINT T&C BAINBRIDGE,343 Winslow Way E,Bainbridge Island,WA,98110,888-758-4389,ChargePoint Network,69209,2015-08-27,J1772,public
ELEC,INSIGNIA 953 EV216,588 Bell St,Seattle,WA,98121,888-758-4389,ChargePoint Network,69853,2015-09-12,J1772,public
ELEC,UWB CASCADIA CC TRULY HOUSE #1,18140 Campus Way NE,Bothell,WA,98011,888-758-4389,ChargePoint Network,70092,2015-09-29,J1772,public
ELEC,UWB CASCADIA CC SOUTH DUAL #2,11237-11299 NE 180th St,Bothell,WA,98011,888-758-4389,ChargePoint Network,70095,2015-09-29,J1772,public
ELEC,COLLEGE HALL CROSBY HOUSE,508 E Sharp Ave,Spokane,WA,99202,888-758-4389,ChargePoint Network,70235,2015-10-03,J1772,public
ELEC,Best Western Plus - Evergreen Inn and Suites,32124 25th Ave S,Federal Way,WA,98003,253-529-4000,Non-Networked,71773,2019-06-28,J1772,public
ELEC,Best Western Plus - Tacoma Dome Hotel,2611 East E St,Tacoma,WA,98421,253-272-7737,Non-Networked,71774,2015-12-01,J1772,public
ELEC,ESSEX SAMMAMISH VIEW,16160 SE Eastgate Way,Bellevue,WA,98008,888-758-4389,ChargePoint Network,71918,2015-12-18,J1772,public
ELEC,MADISON GARAGE MADISON GARAGE2,1229 Madison St,Seattle,WA,98104,888-758-4389,ChargePoint Network,72656,2016-01-23,J1772,public
ELEC,Expo Apartments,118 Republican St,Seattle,WA,98109,855-443-3873,Non-Networked,72739,2016-01-25,J1772,public
ELEC,Terex Aerial Work Platforms,6464 185th Ave NE,Redmond,WA,98052,NULL,Non-Networked,73113,2016-01-25,J1772,public
ELEC,KING COUNTY DOT BURIEN P&R #5,14900 4th Ave SW,Burien,WA,98166,888-758-4389,ChargePoint Network,73197,2016-01-28,J1772,public
ELEC,SIA CELL LOT,8909 W Airport Dr,Spokane,WA,99224,888-758-4389,ChargePoint Network,73219,2016-01-29,J1772,public
ELEC,Tumwater - Shell Station & Deli Mart,6131 Capital Blvd SW,Tumwater,WA,98501,888-833-2148,Webasto,73412,2016-02-09,CHADEMO J1772,public
ELEC,Leavenworth - City Hall,700 US Hwy 2,Leavenworth,WA,98826,888-833-2148,Webasto,73413,2016-02-09,CHADEMO J1772,public
ELEC,Sultan - Sultan Visitor Information Center,320 Main St,Sultan,WA,98294,888-833-2148,Webasto,73415,2016-02-09,CHADEMO J1772,public
ELEC,Cle Elum,3600 Suncadia Trail,Cle Elum,WA,98922,888-833-2148,Webasto,73431,2016-02-09,CHADEMO J1772,public
ELEC,Snoqualmie - Snoqualmie Pass Chevron,519 SR 906,Snoqualmie Pass,WA,98068,888-833-2148,Webasto,73433,2016-02-09,CHADEMO J1772,public
ELEC,Performance Kia,229 SW Everett Mall Way,Everett,WA,98204,866-875-1670,Non-Networked,74196,2016-01-01,CHADEMO J1772COMBO,public
ELEC,Bedrooms & More,300 NE 45th St,Seattle,WA,98105,206-633-4505,Non-Networked,74301,2011-10-01,J1772,public
ELEC,UWB CASCADIA CC BEARDSLEE #1,19121 112th Ave NE,Bothell,WA,98011,888-758-4389,ChargePoint Network,74717,2016-04-06,J1772,public
ELEC,NISSAN-EVERETT DC STATION 1,10500 Evergreen Way,Everett,WA,98204,888-758-4389,ChargePoint Network,75094,2016-04-16,CHADEMO J1772COMBO,public
